No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
00,宮本　秀明,外野手,1996/7/24,26歳,5年,180cm,83kg,O型,右左,熊本,865万円
0,大田　泰示,外野手,1990/6/9,32歳,14年,188cm,96kg,O型,右右,広島,"5,000万円"
1,桑原　将志,外野手,1993/7/21,29歳,11年,174cm,78kg,B型,右右,大阪,"10,500万円"
2,牧　秀悟,内野手,1998/4/21,24歳,2年,178cm,93kg,O型,右右,長野,"7,000万円"
3,藤田　一也,内野手,1982/7/3,40歳,18年,175cm,77kg,O型,右左,徳島,"1,800万円"
5,倉本　寿彦,内野手,1991/1/7,31歳,8年,180cm,85kg,B型,右左,神奈川,"4,120万円"
6,森　敬斗,内野手,2002/1/28,20歳,3年,177cm,78kg,A型,右左,静岡,"1,350万円"
7,佐野　恵太,外野手,1994/11/28,27歳,6年,178cm,88kg,A型,右左,岡山,"11,000万円"
8,神里　和毅,外野手,1994/1/17,28歳,5年,179cm,81kg,A型,右左,沖縄,"4,780万円"
9,大和,内野手,1987/11/5,34歳,17年,177cm,77kg,A型,右右,鹿児島,"9,000万円"
10,戸柱　恭孝,捕手,1990/4/11,32歳,7年,179cm,90kg,A型,右左,鹿児島,"3,740万円"
11,東　克樹,投手,1995/11/29,26歳,5年,170cm,76kg,B型,左左,三重,"2,510万円"
12,阪口　皓亮,投手,1999/8/15,23歳,5年,187cm,86kg,O型,右左,大阪,935万円
13,伊勢　大夢,投手,1998/3/7,24歳,3年,182cm,90kg,A型,右右,熊本,"2,760万円"
14,石田　健大,投手,1993/3/1,29歳,8年,180cm,85kg,O型,左左,広島,"6,490万円"
15,徳山　壮磨,投手,1999/6/6,23歳,1年,183cm,83kg,O型,右右,兵庫,"1,200万円"
16,大貫　晋一,投手,1994/2/3,28歳,4年,181cm,73kg,AB型,右右,神奈川,"5,780万円"
17,三嶋　一輝,投手,1990/5/7,32歳,10年,175cm,80kg,A型,右両,福岡,"12,000万円"
